goos: darwin
goarch: arm64
pkg: github.com/gregfurman/micropython-go
cpu: Apple M3 Pro
BenchmarkCallable/operation=eval-12         	       5	      4458 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4517 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4500 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4475 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4550 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4450 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4458 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4433 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4417 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4408 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4475 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4742 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4408 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4433 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4467 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4525 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4425 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4425 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4717 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4525 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4533 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4425 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4575 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4650 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4525 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4383 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4517 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4458 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4475 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4517 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4483 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4650 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=eval-12         	       5	      4450 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      7433 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2450 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2317 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2025 ns/op	     601 B/op	      16 allocs/op
